City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
141,avarua,-21.2078,-159.775,77.05,94,75,8.05,CK,1715401590
142,anadyr,64.75,177.4833,30.7,74,75,4.47,RU,1715401590
143,tanout,14.9709,8.8879,87.04,25,9,6.26,NE,1715401591
144,san patricio,28.017,-97.5169,81.84,89,42,7.07,US,1715401591
145,west island,-12.1568,96.8225,81.43,83,35,16.13,CC,1715401592
146,tyler,32.3513,-95.3011,73.17,67,0,5.75,US,1715401592
147,punta arenas,-53.15,-70.9167,37.51,81,0,16.11,CL,1715401592
148,nuuk,64.1835,-51.7216,29.01,93,100,8.99,GL,1715401593
149,vernon,50.2581,-119.2691,67.6,51,65,1.03,CA,1715401324
150,tofol,5.3248,163.0078,82.49,74,100,8.43,FM,1715401594
151,bainbridge,47.6262,-122.5212,73.44,64,20,0.0,US,1715401329
152,hami,42.8,93.45,83.73,10,21,4.34,CN,1715401594
153,zacharo,37.4833,21.65,60.1,77,14,8.14,GR,1715401595
154,alta,69.9689,23.2717,38.46,80,100,4.61,NO,1715401595
155,hermanus,-34.4187,19.2345,56.77,73,33,7.09,ZA,1715401596
156,sitka,57.0531,-135.33,49.89,57,0,4.61,US,1715401596
157,torghay,49.6339,63.4981,54.86,32,47,2.21,KZ,1715401596
158,ust-nera,64.5667,143.2,39.61,72,100,4.56,RU,1715401597
159,arish,31.1316,33.7984,70.75,71,87,5.48,EG,1715401597
160,harstad,68.799,16.5293,40.15,90,99,14.0,NO,1715401598
161,willowmore,-33.2926,23.4895,50.83,76,57,5.14,ZA,1715401598
162,glace bay,46.1969,-59.957,39.97,94,75,3.44,CA,1715401599
163,rio real,-11.4847,-37.9328,72.09,95,13,3.51,BR,1715401599
164,laguna,38.421,-121.4238,80.78,33,0,9.22,US,1715401600
165,port-gentil,-0.7193,8.7815,80.55,85,70,9.44,GA,1715401600
166,lompoc,34.6391,-120.4579,55.92,90,100,4.61,US,1715401324
167,sarupathar,26.1984,93.8094,88.99,42,19,3.18,IN,1715401601
168,kapuskasing,49.4169,-82.4331,53.69,46,100,9.22,CA,1715401601
169,hauterive,46.0901,3.4459,56.16,94,39,3.96,FR,1715401602
170,barah,13.7,30.3667,79.03,10,60,3.44,SD,1715401602
171,kolonia,50.9333,6.95,55.17,86,0,2.3,DE,1715401342
172,sharm el-sheikh,27.8518,34.305,80.28,43,4,9.28,EG,1715401603
173,crane,31.3974,-102.3501,68.99,57,100,16.53,US,1715401603
174,jwaneng,-24.6004,24.7303,57.52,27,7,5.59,BW,1715401604
175,kokopo,-4.352,152.2633,85.23,76,96,8.28,PG,1715401604
176,port alfred,-33.5906,26.891,61.99,74,38,19.19,ZA,1715401605
177,al 'amarah,31.8406,47.1396,82.81,26,53,5.57,IQ,1715401605
178,remire-montjoly,4.9167,-52.2667,77.04,100,40,0.0,GF,1715401605
179,srivardhan,18.0333,73.0167,87.66,60,19,8.68,IN,1715401606
180,talnakh,69.4865,88.3972,23.2,73,34,4.0,RU,1715401606
181,heunghae,36.1125,129.3522,74.64,56,100,19.15,KR,1715401607
182,aykhal,66.0,111.5,22.66,70,71,4.27,RU,1715401607
183,petropavlovsk-kamchatsky,53.0452,158.6483,41.59,95,75,13.42,RU,1715401607
184,samarinda,-0.5,117.15,90.27,59,49,4.14,ID,1715401608
185,paso de carrasco,-34.8603,-56.0522,55.94,100,71,0.0,UY,1715401609
186,bereket,39.2446,55.5154,73.45,22,12,12.41,TM,1715401609
187,saudarkrokur,65.7461,-19.6394,46.78,87,100,11.97,IS,1715401610
188,suzun,53.7841,82.3116,60.46,43,100,7.4,RU,1715401610
189,zaozersk,69.4005,32.4476,32.92,93,100,11.74,RU,1715401610
190,guerrero negro,27.9769,-114.0611,60.24,83,39,17.83,MX,1715401611
191,susuman,62.7833,148.1667,37.98,73,100,3.0,RU,1715401611
192,constantia,44.1833,28.65,48.88,65,61,14.14,RO,1715401612
193,cavalaire-sur-mer,43.174,6.5272,56.73,62,0,3.13,FR,1715401612
194,lebu,-37.6167,-73.65,46.15,90,2,5.66,CL,1715401612
195,yuanping,38.7153,112.7575,71.4,10,0,23.33,CN,1715401613
196,severo-yeniseyskiy,60.3725,93.0408,54.57,71,94,5.99,RU,1715401613
197,margaret river,-33.95,115.0667,66.72,51,0,7.34,AU,1715401408
198,nevel'sk,46.6733,141.8633,40.93,82,100,17.18,RU,1715401614
199,agde,43.3108,3.4758,57.94,85,0,8.05,FR,1715401614
200,hilo,19.7297,-155.09,77.29,95,100,5.75,US,1715401412
201,arteche,12.2645,125.4048,89.08,55,99,8.1,PH,1715401615
202,ambodifotatra,-16.9833,49.85,78.89,72,12,17.02,MG,1715401616
203,santa marinella,42.0345,11.8536,60.71,74,34,3.04,IT,1715401616
204,kavaratti,10.5669,72.642,85.89,70,88,9.93,IN,1715401616
205,ulladulla,-35.35,150.4667,60.6,93,100,7.81,AU,1715401617
206,nova sintra,14.8667,-24.7167,74.12,78,11,21.3,CV,1715401617
207,tazovsky,67.4667,78.7,31.12,99,100,5.88,RU,1715401618
208,isafjordur,66.0755,-23.124,37.49,96,100,6.93,IS,1715401618
209,labytnangi,66.6572,66.4183,27.37,89,29,1.43,RU,1715401618
210,tongliao,43.6125,122.2653,61.02,39,73,27.76,CN,1715401619
211,dalandzadgad,43.5708,104.425,60.82,13,86,5.55,MN,1715401619
212,egilsstadir,65.2653,-14.3948,40.91,93,75,3.44,IS,1715401620
213,namibe,-15.1961,12.1522,70.92,83,1,3.67,AO,1715401620
214,carnarvon,-24.8667,113.6333,85.08,31,0,6.87,AU,1715401620
215,nar'yan-mar,67.6713,53.087,19.11,91,47,5.99,RU,1715401621
216,mkushi,-13.6202,29.3939,64.8,68,92,4.27,ZM,1715401621
217,corumba,-19.0092,-57.6533,73.09,46,77,2.26,BR,1715401622
218,kanniyakumari,8.0833,77.5667,85.46,71,99,3.29,IN,1715401622
219,nueva helvecia,-34.3,-57.2333,50.59,90,78,5.08,UY,1715401623
220,island harbour,50.724,-1.2758,54.93,91,92,7.9,GB,1715401623
221,tazacorte,28.629,-17.9293,67.17,83,100,16.11,ES,1715401624
